EGID;GDEKT;GDENR;GDENAME;GSTAT;GSTATLAB_DE;GSTATLAB_FR;GSTATLAB_IT;GKODE;GKODN;EDID;EGAID;ESID;STRNAME;DEINR;STRSP;DPLZ4;DPLZZ;DPLZNAME;DKODE;DKODN;DOFFADR;DEXPDAT
11143505;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719041.98;1088169.45;0;101246380;10139139;Via Val Mara;6;IT;6817;0;Maroggia;2719041.98;1088169.45;0;2021-07-19 00:00:00
11143506;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718818.02;1088066.75;0;101246381;10128278;Quartiere Prà Comun;2;IT;6817;0;Maroggia;2718818.02;1088066.75;0;2021-07-19 00:00:00
11143507;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719056.57;1088190.479;0;101246382;10139137;Via Ressiga;2;IT;6817;0;Maroggia;2719056.57;1088190.479;0;2021-07-19 00:00:00
11143508;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719076.11;1087985.43;0;101246383;10139135;Via Monte Generoso;12;IT;6817;0;Maroggia;2719076.11;1087985.43;0;2021-07-19 00:00:00
11143509;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719072.51;1088158.21;0;101246384;10139137;Via Ressiga;4;IT;6817;0;Maroggia;2719072.51;1088158.21;0;2021-07-19 00:00:00
11143510;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718907.189;1088323.739;0;101246385;10128279;Via ai Molini;29;IT;6817;0;Maroggia;2718907.189;1088323.739;0;2021-07-19 00:00:00
11143511;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718901.82;1087908.23;0;101246386;10138433;Via al Parco;17;IT;6817;0;Maroggia;2718901.82;1087908.23;0;2021-07-19 00:00:00
11143512;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718837.58;1088435.57;0;101246387;10139141;Vicolo ai Ronchetti;9;IT;6817;0;Maroggia;2718837.58;1088435.57;0;2021-07-19 00:00:00
11143513;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718910.185;1087856.737;0;101246388;10138433;Via al Parco;13;IT;6817;0;Maroggia;2718910.185;1087856.737;0;2021-07-19 00:00:00
11143513;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718910.185;1087856.737;1;101891969;10138433;Via al Parco;15;IT;6817;0;Maroggia;2718910.185;1087856.737;0;2021-07-19 00:00:00
11143514;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718774.186;1088309.747;0;101246389;10194558;Piazzetta Francesco Somaini;1;IT;6817;0;Maroggia;2718774.186;1088309.747;0;2021-07-19 00:00:00
11143515;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719104.51;1088059.44;0;101248144;10139142;Vicolo del Tiglio;3;IT;6817;0;Maroggia;2719104.51;1088059.44;0;2021-07-19 00:00:00
11143516;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718952.14;1088307.17;0;101248145;10207549;Via Siegfried Bieber;39;IT;6817;0;Maroggia;2718952.14;1088307.17;0;2021-07-19 00:00:00
11143518;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718840.37;1088422.81;0;101248146;10139141;Vicolo ai Ronchetti;7;IT;6817;0;Maroggia;2718840.37;1088422.81;0;2021-07-19 00:00:00
